#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
PHL,Philippines,38406,Multidimensional poverty index (MPI),0.02424934,2008-2019
PHL,Philippines,38506,"Population in multidimensional poverty, intensity of deprivation (%)",41.83819592,2008-2019
PHL,Philippines,38606,"Population in multidimensional poverty, headcount (%)",5.79598173,2008-2019
PHL,Philippines,39006,"Population living below income poverty line, national poverty line (%)",21.6,2008-2019
PHL,Philippines,43606,"Internet users, total (% of population)",60.0548,2018
PHL,Philippines,45806,Primary school teachers trained to teach (%),100.0,2010-2019
PHL,Philippines,46006,Mobile phone subscriptions (per 100 people),110.128,2018
PHL,Philippines,46106,Primary school dropout rate (% of primary school cohort),7.14464,2008-2018
PHL,Philippines,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",29.08352,2010-2019
PHL,Philippines,52306,Research and development expenditure (% of GDP),0.16415,2014-2018
PHL,Philippines,52606,"Remittances, inflows (% of GDP)",9.333179,2014-2019
PHL,Philippines,53506,"Foreign direct investment, net inflows (% of GDP)",2.029612,2011-2019
PHL,Philippines,57806,"Mortality rate, female adult (per 1,000 people)",130.91,2014-2018
PHL,Philippines,57906,"Mortality rate, male adult (per 1,000 people)",235.071,2014-2018
PHL,Philippines,61006,"Homicide rate (per 100,000 people)",6.464988165,2013-2018
PHL,Philippines,63206,"Gross enrolment ratio, primary (% of primary school-age population)",107.50977,2014-2019
PHL,Philippines,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",86.16291,2014-2019
PHL,Philippines,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",35.47546,2014-2019
PHL,Philippines,65606,Gross fixed capital formation (% of GDP),27.15841824,2014-2019
PHL,Philippines,67106,"Income inequality, Gini coefficient",44.4,2010-2018
PHL,Philippines,97106,Fresh water withdrawals (% of total renewable water resources),19.36,2007-2017
PHL,Philippines,97306,Natural resource depletion (% of GNI),0.944006,2015-2018
PHL,Philippines,98306,"Child malnutrition, stunting (moderate or severe) (% under age 5)",30.3,2010-2019
PHL,Philippines,99106,Net official development assistance received (% of GNI),0.1408458,2010-2018
